symbol,entry_time,side,entry_price,quantity,position_size_usdt,status,exit_time,exit_price,profit_loss,profit_loss_pct,duration_seconds,exit_reason
AVNTUSDT,2025-11-22 19:01:09.693818,BEARISH,0.3886,27.792074112197636,10.8,CLOSED,2025-11-22 19:06:06.603355,0.3904,-0.060850746268657385,-0.005634328358209016,296.909475,Market exit
FLUIDUSDT,2025-11-22 19:02:50.156869,BEARISH,3.604,2.9966703662597114,10.8,OPEN,,,,,,
PENGUUSDT,2025-11-22 19:04:35.464419,BEARISH,0.010125,1066.6666666666667,10.8,CLOSED,2025-11-22 19:06:53.439912,0.010166,-0.05455519999999933,-0.005051407407407346,137.97543,Market exit
HBARUSDT,2025-11-22 19:05:05.792024,BEARISH,0.12719,84.91233587546192,10.8,CLOSED,2025-11-22 19:06:22.834069,0.12768,-0.05242784810126502,-0.004854430379746761,77.041986,Market exit
WIFUSDT,2025-11-22 19:30:08.629365,BULLISH,0.3286,32.86670724284845,10.8,CLOSED,2025-11-22 19:33:10.657714,0.327,-0.06336043822276292,-0.005866707242848418,182.028249,Market exit
GIGGLEUSDT,2025-11-22 19:30:08.782646,BULLISH,103.26,0.10459035444509007,10.8,CLOSED,2025-11-22 19:31:06.095231,102.51,-0.08920354445090065,-0.008259587449157467,57.312516,Market exit
FETUSDT,2025-11-22 19:54:25.148351,BEARISH,0.2706,39.91130820399113,10.8,CLOSED,2025-11-22 21:01:43.086215,0.2719,-0.06271064301551979,-0.005806541019955536,4037.937833,Market exit
ENSOUSDT,2025-11-22 19:55:11.383758,BEARISH,0.841,12.841854934601667,10.8,CLOSED,2025-11-22 21:38:15.298005,0.829,0.0573517241379311,0.005310344827586212,6183.914174,Market exit
VIRTUALUSDT,2025-11-22 20:20:30.486206,BEARISH,0.8754,12.337217272104182,10.8,CLOSED,2025-11-22 20:22:06.593431,0.8793,-0.05893920493488709,-0.005457333790267323,96.107159,Market exit
DASHUSDT,2025-11-22 20:26:50.183334,BEARISH,55.46,0.19473494410385864,10.8,CLOSED,2025-11-22 21:51:34.026657,55.01,0.03747633835196565,0.003470031328885708,5083.843254,Market exit
ARBUSDT,2025-11-22 20:28:39.399950,BEARISH,0.1973,54.73897617840852,10.8,CLOSED,2025-11-22 21:50:29.094601,0.1971,7.471870248368026e-05,6.918398378118542e-06,4909.694559,Market exit
TRUSTUSDT,2025-11-22 21:10:42.549845,BEARISH,0.2129,50.72804133395961,10.8,OPEN,,,,,,
DOTUSDT,2025-11-22 21:21:15.380927,BEARISH,2.284,4.728546409807357,10.8,CLOSED,2025-11-22 22:03:34.848234,2.28,0.0039602758318739145,0.000366692206654992,2539.467226,Market exit
GRASSUSDT,2025-11-22 21:21:27.597647,BULLISH,0.3988,27.081243731193585,10.8,OPEN,,,,,,
FILUSDT,2025-11-22 21:31:16.485207,BEARISH,1.601,6.74578388507183,10.8,CLOSED,2025-11-22 21:50:39.972990,1.612,-0.08504072454715884,-0.007874141161773967,1163.487719,Market exit
OPUSDT,2025-11-22 21:42:26.673096,BEARISH,0.2953,36.572976633931596,10.8,CLOSED,2025-11-22 21:51:14.061056,0.2978,-0.1022781578056215,-0.009470199796816804,527.387875,Market exit
APTUSDT,2025-11-22 21:59:35.816310,BEARISH,2.2963,4.703218220615773,10.8,CLOSED,2025-11-22 22:04:31.683625,2.316,-0.10349972564560299,-0.009583307930148425,295.867257,Market exit
CRVUSDT,2025-11-22 21:59:55.146818,BEARISH,0.365,29.589041095890412,10.8,CLOSED,2025-11-22 22:04:13.463902,0.3674,-0.08184920547945246,-0.007578630136986338,258.317049,Market exit
